name,type,url
ต้มข่าไก่,Mild,https://s359.kapook.com/r/600/auto/pagebuilder/f103aacb-cbd7-4e82-9e73-c134b2551aef.jpg
ข้าวมันไก่,Mild,https://static.thairath.co.th/media/dFQROr7oWzulq5Fa4MvAZOQmFYm5g8Akcteb0xDPiuoNHv2rLoCibLWV6bwymaw2TAQ.jpg
ผัดซีอิ๊ว,Mild,https://s359.kapook.com/pagebuilder/1958331d-f82e-47eb-9bf3-8b7124e5c330.jpg
แกงจืดเต้าหู้หมูสับ,Mild,https://www.easycookingmenu.com/media/k2/items/cache/ca70f255bd2394191d82d5fae8f6827e_XL.jpg
ข้าวหมูแดง,Mild,https://p16-va.lemon8cdn.com/tos-alisg-v-a3e477-sg/oEe9ME2DgjACKnIFfAltBAEwIhC7cwQGXCIGpQ~tplv-tej9nj120t-origin.webp
ข้าวหน้าเป็ด,Mild,https://www.sgethai.com/wp-content/uploads/2022/10/221025-Content-%E0%B8%A7%E0%B8%B4%E0%B8%98%E0%B8%B5%E0%B8%97%E0%B8%B3-%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B9%80%E0%B8%9B%E0%B9%87%E0%B8%9402.jpg
ไข่เจียวหมูสับ,Mild,https://assets.unileversolutions.com/recipes-v2/117867.jpg
ข้าวผัดกุ้ง,Mild,https://img-global.cpcdn.com/recipes/725b05b137e5b4c3/1200x630cq70/photo.jpg
ข้าวผัดปู,Mild,https://www.sgethai.com/wp-content/uploads/2023/05/AnyConv.com__62-7.webp
ข้าวคลุกกะปิ,Mild,https://f.ptcdn.info/380/070/000/qeex59x3yk4J1BTM44M-o.jpg
ไข่พะโล้,Mild,https://www.easycookingmenu.com/media/k2/items/cache/12b4a0ebdb2ebd7c2749eeab3df12810_XL.jpg
แกงเทโพเผ็ดน้อย,Mild,https://static.cdntap.com/tap-assets-prod/wp-content/uploads/sites/25/2022/02/Kaeng-Moo-Ta-Pho-lead.jpg
ปูผัดผงกะหรี่,Mild,https://s359.kapook.com/pagebuilder/2ee839a5-7cbb-48b7-9b05-31c2390f6478.jpg
ผัดผักบุ้งไฟแดง,Mild,https://img.kapook.com/u/2017/surauch/cooking/f1_20.jpg
ปลาหมึกผัดไข่เค็ม,Mild,https://s.isanook.com/wo/0/ud/12/64365/f.jpg
แกงมัสมั่นไก่,Mild,https://img.wongnai.com/p/1920x0/2020/01/21/af9c7e610c594f24a3a2b3c871900fde.jpg
ข้าวซอยไก่,Mild,https://www.unileverfoodsolutions.co.th/dam/global-ufs/mcos/SEA/calcmenu/recipes/TH-recipes/chicken-&-other-poultry-dishes/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%8B%E0%B8%AD%E0%B8%A2%E0%B9%84%E0%B8%81%E0%B9%88/main-header.jpg
ผัดพริกหยวกไก่เผ็ดน้อย,Mild,https://s359.kapook.com/pagebuilder/7f8cc3bb-610e-44b6-9715-6ad387a621b0.jpg
ขนมจีนน้ำยา,Mild,https://img.wongnai.com/p/1920x0/2019/02/18/b5a6f26e61b0419f942c6aa099bd1bf7.jpg
